subject,subcategory,question,a,b,c,d,answer,long_explanation,short_explanation
Test,Sociological Perspectives,Text messages are often a difficult medium to convey tone. Many individuals find their text messages misinterpreted because their tone is lost. The sociological perspective to which this miscommunication most pertains is:,symbolic interactionism.,conflict theory.,social stratification.,homophily.,A,"*Symbolic interactionism looks at how individuals assign meaning to objects, events and interactions.   
*In the cited example, the recipients misterpreted the text messages they received.   
*Those sociologists that examine the symbolic interactionist perspective evaluate these interactions.","* Symbolic interactionism looks at how individuals assign meaning to objects, events and interactions.   
* The sender and recipient of the text messages assign different meanings to the text."
Test,Sociological Perspectives,"In the United States government, Congress is divided between the Senate and the House of Representatives. The smaller size and greater power of each Senator gives the Senate an egalitarian atmosphere. One dissenting member can express his opinion for an unlimited amount of time. In the House, the large number of representatives and the rules favor the majority. This results in a pressure for each member to align with a party, when trying to influence activity. Freshman members defer to more senior members and party leadership. Based on this information, the House has a much stronger affinity toward:",symbolic interactionism.,conflict.,homophily.,social stratification.,D,"*Social stratification is a theory that examines the social hierarchy created by society.   
*As described, the House of Representatives has developed a clear social structure and hierarchy based on the rules and traditions of the body.","* Social stratification is a theory that examines the social hierarchy created by society.   
* The House has developed a clear hierarchy based on its structure."
Test,Interactions,"Often after a student finishes college, parents provide financial assistance as their child transitions to the workforce. What kind of social support are the parents providing by helping their child financially? ",Emotional support,Tangible support,Informational support,Money is not a form of social support,B,"*Social support is divided into four categories: emotional, tangible, informational, and companionship.   
*Tangible support refers to the concrete actions or assistance people receive from others.   
*In this case, the child is receiving concrete assistance (money) from his parents.","* Social support is divided into four categories: emotional, tangible, informational, and companionship.   
* Tangible support is the concrete assistance received from others."
Test,Responsibility,A man decides to create a website where he publishes articles anonymously about his hatred of women. His articles include depictions of women as objects and links to pornographic sites. How might a social psychologist understand the relationship between anonymity and the content of the articles?,This is an example of deindividuation because the man publishes extreme content anonymously that he would not have otherwise published.,This is an example of deindividuation because the man does not see his readers as people.,This is an example of the diffusion of responsibilty because the man is not responsible for the content of his articles.,This is an example of the diffusion of responsibilty because the man thinks anonymity absolves him of any responsibility.,A,"*Deindividuation is the idea that individuals exhibit more extreme behaviors behind the veil of anonymity.   
*In the cited example, the man publishes extreme content because he believes his anonymity will prevent him from being held responsible for his actions.   
*Diffusion of responsibility referred to the idea that individuals are less likely to take responsibility in the presence of other individuals.","* Deindividuation is the idea that individuals exhibit more extreme behaviors behind the veil of anonymity.   
* The man believes anonymity prevents him from being held accountable for his actions."
Test,Relationships,"A student is struggling to complete all of his school work. He has three upcoming midterms and is struggling with the material. As he devotes the majority of his time to studying, his girlfriend gets annoyed with his lack of availability. The student is most nearly experiencing: This can be best described as an example of how:",role strain from being a student that leads to role conflict with his girlfriend.,role conflict from being a student that leads to role strain with his girlfriend.,role conflict but not role strain.,role strain but not role conflict.,A,"*Role strain occurs when an individual struggles in a single role.   
*Role conflict occurs when an individual struggles to maintain several roles.   
*In the cited example, the student is struggling with his role as a student and is finding it difficult to adequately prepare for his midterms.   
*These sacrifices of his time lead to role conflict with his girlfriend as he is then unable to fulfill the duties of the boyfriend role.","* Role strain occurs when an individual struggles in a single role.   
* Role conflict occurs when an individual struggles to maintain several roles.   
* The student faces both problems as he struggles in his role as a student, causing conflict with his girlfriend."
Test,Development,Infants reflexively turn their heads towards anything that touches their cheeks. This primitive reflex is known as the:,rooting reflex.,Moro reflex.,Babinski reflex.,grasping reflex.,A,"* Infants turn their heads towards anything that touches their cheeks, which is known as the rooting reflex.   
* This reflex likely developed in order to aid the infant locate its food source (the nipple).   
* This is an example of a primitive reflex, a neonatal reflex that usually disappears with age.",* The rooting reflex has infants turn their heads towards anything that touches their cheeks.
Test,Development,Infants reflexively grab anything with which their hands make contact. The primitive reflex is known as the:,rooting reflex.,Moro reflex.,Babinski reflex.,grasping reflex.,D,"* Infants grab objects placed in their hands, termed the grasping reflex.  
* This is an example of a primitive reflex, a neonatal reflex that usually disappears with age.",* The grasping reflex has infants grab objects that they touch with their hands.
Test,Disorders,Panic attacks are most associated with which of the following categories of mental disorders?,Depressive disorder,Personality disorder,Obsessive-compulsive and related disorders,Anxiety disorder,D,"*Anxiety disorders are characterized by inappropriate feelings of fear to current events and anxiety for future events.   
*A panic attack is an extreme form of this fear in which subjects suffers from brief attacks of terror.    
*Symptoms include dizziness, shaking, nausea, difficulty breathing, and confusion.","* Anxiety disorders are characterized by inappropriate feelings of fear and anxiety.   
* A panic attack is an extreme form of this fear."
Test,Personality,"Some studies indicate that a percentage of voters make decisions based on the perceived likeability of the candidate. Factors that influence likeability include physical appearance, quality of voice and charisma. Which element of persuasion are these voters primarily considering?",Message characteristics,Source characteristics,Target characteristics,Emotional characteristics,B,"*The source characteristics are the aspects of persuasion that deal with the individuals or organizations making the argument.   
*In this case, the electoral candidates are selected for based on their physical and personal characteristics.   
*The major source characteristics that are generally considered are trustworthiness, reliability (expertise), and attractiveness (charisma).","* Source characteristics are the aspects of persuasion that deal with the individuals or organizations making the argument.   
* In this case, the electoral candidates are selected for based on their physical and personal characteristics.   "
Test,Personality,"A speaker is giving a persuasive lecture on a college campus. In order to relate to his audience and make his speech more compelling, he discusses parties and drinking. In doing this, what aspect of persuasion is the speaker considering?",The message characteristics,The source characteristics,The target characteristics,Emotional characteristics,C,"*The target characteristics are the aspects of persuasion that deal with the characteristics of the target audience.   
*In this case, the speaker is changing his argument in order to better appeal to the students that comprise his audience.   
*With these changes, he will better relate to his audience and maintain their engagement.","* The target characteristics are the aspects of persuasion that deal with the characteristics of the target audience.   
* The speaker is altering his argument to better relate to his audience."
Test,Personality,Obtaining funding is a major consideration for labs as they set out to establish themselves. Most labs acquire funding by submitting grant proposals in which investigators outline their studies and provide their initial findings. Which aspect of persuasion do these newly developed labs primarily consider as they write these grant proposals?,Message characteristics,Source characteristics,Target characteristics,Emotional characteristics,A,"*The message characteristics are the aspects of persuasion that deal with the structure and content of the argument itself.   
*As research labs start out, they appeal for funding primarily based on the strength of their ideas.   
*The submitted proposal is the message of the argument (give us funding), and the content of this message is the researchers' primary consideration.","* The message characteristics are the aspects of persuasion that deal with the structure and content of the argument itself.   
* The content of the grant proposal is the message of the argument and is the researchers' primary consideration."
Test,Personality,"A man and his wife hear gunshots when walking in a major city. The man, who had never heard gunshots before, immediately panics. His wife grew up in a violent neighborhood and does not panic upon hearing the gunshots. Which of the following psychological concepts explain's the woman's response?",Habituation,Reflex,Taxis,Insight learning,A,"*Habituation occurs as an individuals show a decreased response to certain stimuli as the stimuli are presented repeatedly.   
*In this scenario, the man, who has never heard gunshots before, panics.   
*The woman, who has heard gunshots repeatedly, does not carry out her innate response.","* Habituation occurs as an individuals show a decreased response to certain stimuli as the stimuli are presented repeatedly.   
* The woman has encountered gunshots frequently and no longer responds."
Test,Personality,"A child who grew up in a town with a high level of violence learns to leave areas whenever he hears sirens. This is an example of which of the following types of learning?
",Escape learning,Avoidance learning,Habituation,Insight learning,B,"*Through avoidance learning, individuals learn certain behaviors in or order to avoid certain situations.   
*The individuals learn to associate certain stimuli with dangerous outcomes and therefore avoid the situation.   
*The child associates police sirens with violence and moves to distance himself from the possible source of harm.","* Through avoidance learning, individuals learn certain behaviors in reponse to certain stimuli in order to avoid negative situations.   
* The child associates police sirens with violence and moves to distance himself from the possible source of harm."
Test,Personality,A factory worker is paid a certain amount of money for each product she manufactures. This system is an example of which of the following forms of payment?,Fixed interval,Variable interval,Fixed ratio,Variable ratio,C,"*The payment system described is a fixed ratio system.   
*In a ratio system, individuals are rewarded upon completio of specific tasks.   
*In a fixed system, individuals are rewarded a constant amount across situations.","* This is a fixed ratio system.  
* The ratio aspect has individuals compensated for tasks completed.   
* The fixed aspect has individuals compensated a constant rate in all situations."
Test,Learning,"A man was in a severe car accident as a child. For several years following the accident, he avoided cars and felt fearful and anxious whenever he entered one. Eventually, the man overcame his fear, got his driver's license, and drove regularly with few concerns. Many years later, he suddenly presented with the same fear and anxiety he had experienced as a childhood. What psychological concept would be most associated with the recurrence of these symptoms?",Generalization,Extinction,Discrimination,Spontaneous recovery,D,"*Spontaneous recovery is an aspect of classical conditioning in which a conditioned response that had not appeared for a period of time spontaneously reappears.   
*In this situation, the man was conditioned to feel fear and anxiety whenever he entered a car, but this response was lost over time.   
*The recurrence of the symptoms is an example of a spontaneous recovery of this conditioned response.",* Spontaneous recovery is the reappearance of a previously eliminated conditioned response.
Test,Neuroscience,The neurons that transmit information coming from the central nervous to the muscles and glands are known as:,motor neurons.,afferent neurons.,interneurons.,sensory neurons.,A,"*The neurons that transmit information from the central nervous system to the muscles and glands are known as motor or efferent neurons.   
*There are three broad classifications for neurons: sensory/afferent, motor/efferent, and interneurons.   
*Those neurons that only form connections to other neurons and transmit information between them are known as interneurons.   
*The neurons that transmit external, sensory information towards the central nervous system are known as sensory or afferent neurons.",* Motor neurons tranmit information from the CNS to effector organs.
Test,Consciousness,As a student working through chemistry problems eventually develops a systematic way to work through the problems she encounters. She then employs this process any time she attempts a similar problem. Which of the following approaches to problem solving is the student employing?,Deductive reasoning,Inductive reasoning,Trial and error,Algorithmic problem solving,D,"*Algorithms are step by step processes that are used to solve problems.   
*Mathematical algorithms are most associated with computer problem solving.   
*In this case, she developed a method through which she could solve problems and then employed this approach to solve subsequent problems.","* Algorithms are systematic, step by step processes that are used to solve problems.   "
Test,Consciousness,"A child notices that all cats she has encoutered are small. Upon seeing a leopard in a zoo, she incorrectly concludes that the leopard is not a cat because it is not small. In making this erroneous conclusion, which of the following does she employ?",Deductive reasoning,Inductive reasoning,Trial and error,Algorithmic problem solving,B,"*Through inductive reasoning, individuals use specific instances of a situation to draw general conclusions.   
*It is also known as bottom up processing and is taken to the inverse of the less fallible deductive reasoning process.   
*In this case, the child mistakenly assumed that all cats must be small and was not able to correctly classify a leopard as cat.","* Through inductive reasoning, individuals use specific instances of a situation to draw general conclusions.   "
Test,Consciousness,"A child is told, that, as a general rule, rain is always accompanied by clouds. Later, when it begins to rain, the child predicts the presence of rain clouds in the sky. In doing so, he employs which of the following?",Deductive reasoning,Inductive reasoning,Trial and error,Algorithmic problem solving,A,"*Deductive reasoning is a method of problem solving in which conclusions are drawn from general rules or relationships.   
*It is also known as top down processing.   
*In this case, the child learns a general rule (clouds accompany rain) and applies it to a specific occurrence of the situation.",* Deductive reasoning is a method of problem solving in which conclusions are drawn from general rules or relationships.   
Test,Consciousness,The process by which multiple possible solutions are attempted in order to solve a problem is known as:,deductive reasoning.,inductive reasoning.,trial and error.,algorithmic problem solving.,C,"*Through trial and error, a problem is solved by attempting various solutions until the issue is resolved.    
*This method is not necessarily systematic and does not necessarily involve learning.   
*For example, evolution itself could be seen as an unguided trial and error process in which different iterations are selected for and survive over others. ","* Trial and error employs multiple solution attempts until a problem is solved.  
* This method is not necessarily systematic."
Test,Cognition,The ability to understand that objects exist when not in view is known as:,algorithmic processing.,symbolic thinking.,conservation.,object permanence.,D,"*Object permanence is the understanding that an object remains in existence when not in view.   
*Babies develop this understanding during the sensorimotor stage of development, usually by 8 to 12 months of age.   
*For example, during a game of Peek-a-boo, the baby sees the other player dissappear and then reappear without realizing that the player continued to exist throughout the process.",* Object permanence is the understanding that an object remains in existence when not in view.   
Test,6A: Other senses,"Which of the following senses utilize chemoreceptors to translate environmental information to electrical impulses?
   I. Taste  
   II. Smell  
   III. Sight",I only.,II only.,I and II only.,"I, II, and III.",C,"*Taste and smell are known as the chemical senses because we use them to sense environmental chemical information.   
*The olfactory chemoreceptors sense chemicals dissolved in the air and convert this information to electrical signals.   
*Chemoreceptors in the taste buds utilize a similar process, sampling dissolved compounds in the mouth.",* Chemoreceptors on the tongue and in the nose sample the environment for dissolved chemicals and translate this information to electrical signals.
