subject,subcategory,question,a,b,c,d,answer,long_explanation,short_explanation
Bio,Bacteria,What method of cellular reproduction is shared by both prokaryotes and species of yeast?,Binary fission,Meiosis,Mitosis.,Budding.,A,"*All bacteria and certain yeasts are able to reproduce by binary fission, a process from which two cells, each with their own copy of genomic DNA, are formed asexually.
*Budding is another form of asexual reproduction, but it is not used by bacteria.
*Mitosis and meiosis is only carried out by eukaryotes.","*All bacteria and certain yeasts are able to reproduce by binary fission.
*Budding is not used by bacteria.
*Bacteria do not carry out mitosis or meiosis."
Bio,Bacteria,The active site of the ribosome catalyzes the formation of the peptide bond in the growing polypeptide chain.  This active site is primarily composed of:,non polar amino acids.,charged amino acids.,DNA,RNA,D,"*In the ribosome, peptide bond formation is catalyzed by RNA. Though ribosomes do contain proteins, these proteins are not located near the active site.
*This component of the ribosome is an example of a ribozyme, a ribonucleic enzyme.",*The ribosomal active site is composed of RNA.
Bio,Bacteria,Bacteria that are rod-like or cylindrical in shape are referred to as:,cocci.,bacilli.,spirilla.,heloarcula.,B,"*Bacteria are classified into three primary morphological types: 
      *rod-like (bacilli) 
      *spherical (cocci)
      *helical (spirilla)",*Bacteria that are cylindrical or rod-like in shape are classified as bacilli.
Bio,Bacteria,Bacteria that are curved or helical in shape are referred to as:,cocci.,bacilli.,spirilla.,heloarcula.,C,"*Bacteria are classified into three primary morphological types: 
     *helical (spirilla)
     *rod-like (bacilli) 
     *spherical (cocci)
     ",*Bacteria that are helical or curved in shape are classified as sprilla.
Bio,Bacteria,Bacteria that are spherical or ovular in shape are referred to as:,cocci.,bacilli.,spirilla.,heloarcula.,A,"*Bacteria are classified into three primary morphological types: 
     *spherical (cocci)
     *helical (spirilla)
     *rod-like (bacilli) ",*Bacteria that are spherical or ovular in shape are classified as cocci.
Bio,Bacteria,A plasmid is composed of:,single stranded intragenomic DNA.,double stranded intragenomic DNA.,single stranded extragenomic DNA.,double stranded extragenomic DNA.,D,"*Plasmids are closed loops of double stranded DNA.
*They are extrachromosomal, which means they are not part of the bacterial genome (extragenomic).
*Naturally occurring plasmids generally contain beneficial, though unncessary, genes and can be transferred from one cell to another through conjugation, transduction, or transformation. 
*Artificial plasmids are often used as vectors for genetic cloning.","*Plasmids are closed loops of double standed DNA.
*They are not part of bacterial chromosomes and are thus said to be extragenomic."
Bio,Bacteria,"Genes can be horizontally transferred from one bacterium to another through the use of a virus, a process known as:",transformation.,conjugation.,transduction.,binary fission.,C,"*Bacteria can be genetically altered through viral infection (known as transduction). 
*Bacteriophages can insert DNA from other bacteria, which can then be transcribed and used.
*Transduction is one of the three major ways bacteria can be genetically altered (the others are transformation and conjugation).",*Horizontal gene transfer from one bacterium to another through the use of a virus is known as transduction.
Bio,Bacteria,"In microbiology and biotechnology, the bacterial ability to take up extracellular DNA from the surroundings is known as competence. The process by which these cells take up DNA and are genetically altered is known as:",transformation.,conjugation.,transduction.,binary fission.,A,"*Transformation is the process by which cells are genetically altered through direct uptake of extracellular, extragenomic DNA from the surroundings.
*Cells that can be altered by this process are called competent cells.
*Transformation is one of the three major ways bacteria can be genetically altered (the others are transduction and conjugation).",*The process by which a bacterial cell is genetically altered through the uptake of extracellular DNA is known as transformation.
Bio,Bacteria,"Considered to be the bacterial counterpart to sexual mating, the process by which bacteria exchange genetic material through direct cell to cell contact is known as:",transformation.,conjugation.,transduction.,binary fission.,B,"*Conjugation is the process by which genes are transferred from one bacteria to another by direct contact.
*It can occur through cell to cell contact or through the use of a bridge-like structure called a pilus.
*Conjugation is one of the three major ways abcteria can be genetically altered (the others are transduction and conjugation).","*Bacteria can exchange DNA with direct, cell to cell contact, a process known as conjugation."
Bio,Bacteria,Any process by which foreign DNA is transferred to a cell through through the use of a virus is known as:,transformation.,conjugation.,transduction.,binary fission.,C,*Transduction is any process by which foreign DNA is introduced into a cell through the use of a viral vector.,*The alteration of the genetic makeup of a cell through the use of a virus is known as transduction.
Bio,Musculoskeletal System,"Rigor mortis, the phenomenon by which recently deceased bodies become rigid several hours after death, is caused by:",the breakdown of muscle cells.,the continuous activation of motor neurons.,the depletion of available muscle cell ATP.,the breakdown of bone cells.,C,"*Rigor mortis is caused by the depletion of ATP in muscle cells.
*The presence of ATP is necessary for the dissociation of the myosin heads from the actin filaments. With the decline in available ATP, these proteins remain bound, leaving the muscle cells in a rigid, contracted state.",*Rigor mortis results from the myosin head's inability to dissociate from the actin filaments as the muscle cell's stores of ATP are depleted.
Bio,Musculoskeletal System,"During muscle constraction, what molecule binds to myosin, allowing for the release of the actin filament?",Acetylcholine,ATP,Glutamate,Troponin,B,"*In order to release the actin filament, myosin binds ATP. 
*Over the course of muscle contraction, myosin binds actin and completes its powerstroke, shortening the muscle fiber. After the powerstroke, ATP is necessary for actin's release.
*The depletion of this ATP causes the muscle stiffness seen after death (rigor mortis).",*Myosin binds ATP in order to release myosin.
Bio,Musculoskeletal System,"During muscle contraction, all of the following regions of the sacromere shorten EXCEPT:",the region containing only the thin filaments (I band).,the region containing only the thick filaments (H Zone).,the length of individual sarcomeres.,the region containing the thick filaments in their entirety (A band).,D,"*During muscle contraction, the region of the sarcomere containing the thick filaments in their entirety (A band) does not shorten because the thick filaments themselves maintain a constant length. 
*The sarcomeres themselves, as well as the regions containing only the thick filaments and only the thin filaments (H zone and I band, respectively), do shorten over the course of contraction.",*The region containing the thick filaments in their entirety does not shorten. The thick filaments maintain a constant length.
Bio,Musculoskeletal System,"Upon membrane depolarization by an action potential, the sarcoplasmic reticulum of muscle cells releases a large amount of:",sodium.,calcium.,chloride.,potassium.,B,"*The depolarization of muscle cell membranes opens voltage gated calcium channels on the sarcoplasmic reticulum.
*A large amount of calcium is released, which binds to troponin on the thin (actin) filament, allowing myosin to bind to actin and the progression of muscle contraction.
",*Incoming action potentials cause the sarcoplasmic reticulum to release large amounts of calcium.
Bio,Musculoskeletal System,"Upon depolarization, a muscle cell's sarcoplasmic reticulum releases a large amount of calcium. In order to facillitate contraction, this calcium:","binds to troponin, inducing conformational changes that allow the myosin head to bind to actin filament.",triggers the release of neurotransmitters into the synaptic cleft.,"binds to myosin, causing the release of actin from the myosin head.",displaces bound ATP on the myosin head.,A,"*Calcium released from the sarcoplasmic reticulum binds to troponin.
*The troponin allosterically induces conformational changes in associated tropomyosin molecules.
*Tropomyosin then no longer obstructs the myosin binding sites on the actin filament, allowing for crossbridge binding and muscle contraction.","*Released calcium binds troponin, which allosterically regulates tropomyosin.
*Tropomyosin changes conformation such that the myosin binding sites on the actin filaments are no longer obstructed."
Bio,Endocrine System,Which of the following is a characteristic of aldosterone?,It is released by the kidneys in response to decreased blood volume.,It increases blood volume.,It increases urine volume.,It increases calcium reabsorption in the kidneys.,B,"*Aldosterone increases blood volume by increasing sodium reabsorption in the kidneys.
*As sodium is reabsorbed, water passively follows and more fluid is retained, increasing blood volume.
*Aldosterone is usually released (from the adrenal glands) in reponse to a decrease in blood volume.",*Aldosterone increases blood volume by increasing sodium reabsorption in the kidneys.
Bio,Endocrine System,"In response to dehydration and increased plasma osmolarity, antidiuretic hormone (ADH) is secreted from the posterior pituitary in order to return the body to homeostatic conditions. By what mechanism is this accomplished?",ADH increases the permeability of sodium in the collecting ducts of the kidneys through the insertion of sodium channels.,ADH increases the permeability of water in the collecting ducts of the kidneys through the insertion of aquaporins.,ADH decreases the permeability of sodium in the collecting ducts of the kidneys through the removal of sodium channels.,ADH decreases the permeability of water in the kidneys through the removal of aquaporins.,B,"*ADH increases the permeability of water in the distal convoluted tubule and the collecting duct of the nephron.
*In response to ADH binding, epithelial cells in these regions insert aquaporins into their membranes, allowing for greater water reabsorption.
*ADH is usually released in response to increased plasma osmolarity or decreased plasma volume.",*ADH increases water reabsorption in the distal convoluted tubules and collecting ducts through the insertion of aquaporins.
Bio,Endocrine System,Tropic hormones are hormones that act upon other glands of the endocrine system and are involved in the regulation of other hormones. All of the following are tropic hormones EXCEPT:,thyroid-stimulating hormone (TSH).,luteinizing hormone (LH).,oxytocin.,adrenocorticotropic hormone (ACTH).,C,"*Tropic hormones act on other endocrine glands to regulate the synthesis and release of additional hormones.
*Oxytocin is the only hormone listed that directly acts on effector organs (direct hormone).
*The others are tropic hormones: ACTH, TSH, and LH stimulate the adrenal glands, the thyroid, and the ovaries, respectively.","*ACTH, TSH, and LH are all tropic hormones in that they regulate the production and release of hormones by other endocrine glands.
*Oxytocin directly stimulates effector organs (the uterus and mammary glands), making it a direct hormone."
Bio,Endocrine System,"In females, ovulation is directly triggered by a spike in the levels of:",estrogen.,progesterone.,follicle-stimulating hormone.,luteinizing hormone.,D,"*A spike in luteinizing hormone (LH) is most associated with ovulation.
*Though rising estrogen levels during the follicular phase of the menstrual cycle trigger increases in the levels of both LH and follicle stimulating hormone (FSH), the LH surge triggers the enzymatic cascade that results in the release of the egg from the follicle.",*A spike in luteinizing hormone (LH) is most associated with ovulation.
Bio,Endocrine System,"The pancreas secretes hormones that are critical to the maintenance of glucose homeostasis. In the period soon after a meal, the pancreas will likely:","increases its secretion of insulin, promoting the breakdown of glycogen.","increases its secretion of glucagon, promoting the breakdown of glycogen.","increases its secretion of insulin, promoting the formation of glycogen.","increases its secretion of glucagon, promoting the formation of glycogen.",C,"*In response to an increase in blood glucose levels (as would be the case after a meal), the pancreas releases insulin.
*Insulin stimulates glucose uptake and its polymerization into glycogen, which decreases blood glucose concentration.","*In response to a high blood glucose concentration, the pancreas releases insulin.
*Insulin stiumulates the formation of glycogen and the removal of free glucose from the blood."
Bio,Endocrine System,"In order to regulate blood glucose levels, the pancreas produces and secretes the homones insulin and glucagon. In response to periods of fasting, the pancreas:","increases its secretion of insulin, promoting the breakdown of glycogen.","increases its secretion of glucagon, promoting the breakdown of glycogen.","increases its secretion of insulin, promoting the formation of glycogen.","increases its secretion of glucagon, promoting the formation of glycogen.",B,"*In response to a decrease in blood glucose concentration, the pancreas releases glucagon.
*Glucagon stimulates the breakdown of glycogen (polymerized glucose) into free glucose, thereby increasing the concentration of glucose in the blood.","*In response to a low blood glucose concentration, the pancreas releases glucagon.
*Glucagon stiumulates the breakdown of glycogen and the release of free glucose into the blood."
Bio,Endocrine System,"In order to maintain the corpus luteum and its production of progesterone during the first trimester, the developing fetus produces:",progesterone.,epinephrine.,follicle-stimulating hormone.,human chorionic gonadotropin,D,"*During the first trimester of pregnancy, the developing fetus releases human chorionic gonadotropin (hCG). 
*hCG prevents the corpus luteum from atrophying as it produces the progesterone necessary for maintaining the uterine lining. 
*After the first trimester, hCG levels decline as the placenta takes over progesterone production.",*The fetus produces human chorionic gonadotropin (hCG) in order to maintain the corpus luteum during the first trimester.
Bio,Endocrine System,Which of the following hormones is derived from cholesterol?,Aldosterone,Epinephrine,Vasopressin,Glucagon,A,"*Aldosterone is a steroid hormone, a non-polar hormone derived from cholesterol.
*Vasopressin and glucagon are peptide hormones while epinephrine is derived from the amino acids tyrosine and phenylalanine.","*Aldosterone is an example of a steroid hormone, a class of hormones that are derived from cholesterol."
Bio,Gastrointestinal System,What cells secrete hydrochloric acid in the stomach?,Parietal cells,Chief cells,Foveolar cells,G cells,A,"*The stomach's parietal cells secrete hydrochloric acid (HCl) in order to aid in the chemical digestion of food. 
*Chief cells secrete pepsin (a protease), foveolar cells produce mucus (protection for the stomach lining), and G cells produce gastrin (a hormone that stimulates HCl production).",*The stomach's parietal cells secrete hydrochloric acid (HCl).
Bio,Gastrointestinal System,What cells secrete the enzyme pepsin in the stomach?,Parietal cells,Chief cells,Foveolar cells,G cells,B,"*The stomach's chief cells secrete pepsin in order to aid in the digestion of proteins. 
*Parietal cells secrete hydrochloric acid (HCl), foveolar cells produce mucus (protection for the stomach lining), and G cells produce gastrin (a hormone that stimulates HCl production).",*The stomach's chief cells secrete pepsin.
Bio,Gastrointestinal System,"In order to neutralize the acidic chyme as it moves into the duodenum, the pancreas secretes a large amount of:",hydrochloric acid.,sodium hydroxide.,insulin.,bicarbonate,D,"*The pancreas releases a large amount of bicarbonate (a basic anion) in order to neutralize the acidic stomach contents (chyme). 
*In the stomach, food is mixed with concentrated hydrochloric acid so the basic bicarbonate is used to protect the lining of the duodenum from damage.",*The pancreas secretes bicarbonate in order to neutralize the acidic chyme.
Bio,Endocrine System,"Often called insulin deficiency, type 1 diabetes is caused by: ",the destruction of pancreatic beta cells.,unresponsive insulin receptors.,damage to the glomerulus in the nephron.,fluid build up in the extremities.,A,"*Type I diabetes is associated with the immune mediated destruction of the insulin producing beta cells of the pancreas. 
*With the destruction of these cells, the body is no longer able to produce insulin, leading to increased blood glucose concentrations.",*Type I diabetes is associated with the desctruction of the insulin producing beta cells of the pancreas. 
Bio,Endocrine System,"Often called insulin insensitivity, type 2 diabetes is most associated with: ",the destruction of pancreatic beta cells.,unresponsive insulin receptors.,damage to the glomerulus in the nephron.,fluid build up in the extremities.,B,"*Type II diabetes is associated with unresponsive insulin receptors (insulin resistance). 
*The pancreas usually produces insulin, but the body's cells are unable to process the signal and fail to uptake glucose, leading to increased blood glucose concentrations.",*Type II diabetes is associated with unresponsive insulin receptors.
Bio,Excretory System,The primary site of glucose and amino acid reabsorption in the nephron is:,the distal convoluted tubule.,the ascending loop of Henle.,the proximal convoluted tubule.,the collecting duct.,C,"*Small organic nutrients like glucose and amino acids are primarily reabsorbed in the proximal convoluted tubule.
*In healthy adults, close to 100% of these compounds are reabsorbed.
*Glucose is seen in the urine of diabetic patients because they have higher blood glucose concentrations that can be reabsorbed by the nephron.",*Small organic nutrients like glucose and amino acids are reabsorbed in the proximal convoluted tubule.
Bio,Excretory System,Which of the following would increase the glomerular filtration rate while decreasing renal blood flow?,Increased resistance in the afferent arterioles of the kidney,Increased resistance in the efferent arterioles of the kidney,Decreased resistance in the afferent arterioles of the kidney,Decreased resistance in the afferent arterioles of the kidney,B,"*An increased resistance in either the afferent or efferent arterioles will decrease renal blood as this increases the pressure required to pump blood to the kidneys.
*Increased resistance in the efferent arteriole will increase the glomerular filtration rate as blood faces increased resistance to bypassing the nephron and returning to the circulation.",*Increasing the resistance of the efferent arteriole will both decrease renal blood flow and increase glomerular filtration rate.
Bio,Endocrine System,Aldosterone is secreted from the:,adrenal glands.,anterior pituitary.,hypothalamus.,kidneys.,A,"*Aldosterone is a steroid hormone that is released from the adrenal glands.
*It is a mineralocorticoid, a hormone that assists in the maintenance of salt and water homeostasis.",*Aldosterone is a mineralocorticoid secreted from the adrenal glands.
Bio,Digestive System,All of the following are functions of the large intestine EXCEPT:,absorption of ions and water.,storing feces.,absorption of certain vitamins.,production and absorption of amino acids.,D,"*The small intestine absorbs the amino acids from food.
*The large intestine stores feces and absorbs water and ions and various vitamins produced by the bacteria it houses.","*The small, not the large, intestine absorbs the amino acids in food."
Bio,Respiratory System,"Of the following, which is LEAST likely to result in acidosis (decreased blood pH)?",Hypoventilation,Vomiting,Kidney failure,Increased lactic acid production in the kidneys,B,"*Since vomiting is the ejection of the acidic stomach contents, it is least likely to result in acidosis.
*The other options provided decrease blood pH:
   *Hypoventilation increases the blood carbon dioxide concentration.
   *Kidney failure decreases the amount of protons secreted in the urine.
   *Lactic acid is one of the major metabolic proton sources.
",*Vomiting is the ejection of the acidic stomach contents and is unlikely to result in acidosis.
Bio,Respiratory System,Patients that are inhaling and exhaling rapidly (hyperventilating) often lose consciousness if their breathing is not controlled. This loss of consciousness is most likely caused by:,an increase in blood pH.,a decrease in blood pH.,oxygen deprivation.,decreased carbon dioxide production.,A,"*Hyperventilation results in increased exhalation, which decreases the carbon dioxide concentration in the blood. 
*This carbon dioxide exists in equilibrium with carbonic acid as follows:
CO2 + H2O _ H2CO3 _ H+ + HCO3-
*The removal carbon pushes the equilibrium to the right, consuming carbonic acid and increasing blood pH (making the blood more basic).",*Hyperventilation causes the blood to become more basic as more carbon dioxide is inhaled.
Bio,Excretory System,"In order to maintain homeostasis, an increase in plasma osmolarity will likely result in:",an increase in ADH (vasopressin) secretion.,a decrease in ADH (vasopressin) secretion.,an increase in urine output.,a decrease in urine osmolarity.,A,"*The posterior pituitary gland releases ADH in response to increased plasma osmolarity.
*In order to dilute the blood, ADH increases the permeability of water in the distal convoluted tubule and the collecting duct, increasing its reabsorption.",*The posterior pituitary releases ADH in response to increased plasma osmolarity.
Bio,Bacteria,The bacterial genome consists of:,circular loops of double stranded RNA.,linear segments of double stranded RNA.,circular loops of double stranded DNA.,linear segments of double stranded DNA.,C,"*The bacterial (prokaryotic) genome consists of circular loops of double stranded DNA, which is not contained inside a nucleus (prokaryotes do not have membrane enclosed organelles). 
*The eukaryotic genome is composed of linear, double stranded DNA, which is enclosed in a nucleus.",*The bacterial genome is composed of circular loops of double stranded DNA.
Bio,Bacteria,The eukaryotic genome consists of:,circular loops of double stranded RNA.,linear segments of double stranded RNA.,circular loops of double stranded DNA.,linear segments of double stranded DNA.,D,"*The eukaryotic genome is composed of linear, double stranded DNA, which is enclosed in a nucleus. 
*The prokaryotic genome consists of circular loops of double stranded DNA, which is not contained inside a nucleus (prokaryotes do not have membrane enclosed organelles).","*The eukaryotic genome is composed of linear, double stranded DNA."
Bio,Eukaryotic Cell,All of the following are major components of the eukaryotic cell membrane EXCEPT:,cholesterol.,phospholipids.,protein.,RNA.,D,"*RNA is not a major component of the eukaryotic cell membrane. 
*The membrane is primarily composed of phospholipids and includes cholesterol (increases membrane fluidity) and embedded proteins.","*RNA is not a major component of eukaryotic cell membranes while phospholipids, cholesterol, and proteins are.
"
Bio,Eukaryotic Cell,The eukaryotic cell membrane is primarily:,"hydrophilic, allowing for the diffusion of small, polar molecules.","hydrophilic, allowing for the diffusion of small, nonpolar molecules.","hydrophobic, allowing for the diffusion of small, polar molecules.","hydrophobic, allowing for the diffusion of small, nonpolar molecules.",D,"*The cellular membrane is primarily composed of a repeating phospholipid bilayer.
*Since these phospholipid molecules are largely hydrophobic, only small non polar molecules like gases and steroid hormones can pass through the membrane without the use of transport proteins.","*The membrane's phospholipid bilayer is primarily hydrophobic, allowing for the diffusion of small, non polar molecules."
Bio,Eukaryotic Cell,Which of the following can diffuse through cell membranes without the use of embedded proteins?,Water,Gases,Ions,Proteins,B,"*The cellular membrane is primarily composed of a repeating phospholipid bilayer.
*Since these phospholipid molecules are largely hydrophobic, only small non polar molecules like gases and steroid hormones can pass through the membrane without the use of transport proteins.
*Polar (water), charged (ions), or large (proteins) molecules require the use of embedded proteins to enter the cell.","*Small, non polar molecules like gases can across the primarily hydrophobic cellular membrane."
Bio,Eukaryotic Cell,"In the absence of embedded membrane proteins, all of the following are cell membrane impermeable EXCEPT:",cholesterol.,water.,ions.,glucose.,A,"*The cellular membrane is primarily composed of a repeating phospholipid bilayer.
*Since these phospholipid molecules are largely hydrophobic, only small non polar molecules like cholesterol are membrane permeable.
*Polar molecules like water and glucose and charged molecules like ions are membrane impermeable.","*Small, non polar molecules like cholesterol can cross the primarily hydrophobic cellular membrane."
Bio,Eukaryotic Cell,"When an erythrocyte is transferred from an isotonic solution to a hypotonic solution, it will most likely:",swell.,remain unchanged.,shrink.,absorb solute.,A,"*When placed in a hypotonic solution, the cell will swell as its cytoplasm will be more concentrated than the surrounding solution. 
*The water will flow down its concentration gradient into the cell until the cell equilibrates with the solution or it ruptures.","*In a hypotonic solution, the cell will swell as water flows down its concentration gradient."
Bio,Eukaryotic Cell,"A semipermeable membrane is a membrane that is only permeable to water. If a 2.0 M potassium bromide solution is separated from a solution of 3.0 M glucose solution by a semipermeable membrane, what will occur if these solutions are allowed to equilibrate?",Potassium bromide will diffuse across the membrane.,Water will flow into the glucose solution.,The water and solute concentrations will remain unchanged.,Water will flow into the potassium bromide solution.,D,"*If these solutions are allowed to equilibrate, water will flow into the potassium bromide solution. 
*Though the KBr solution has a 2.0 M concentration while the glucose has a 3.0 molar solution, the concentration of water is lower in the KBr solution. Water ""sees"" a 4.0 M solute concentration in the KBr solution.
*Water will flow down its concentration gradient into the potassium bromide solution.","*Water will flow down its concentration gradient into the KBr solution.
*KBr dissociates into two ions, leading to a 4.0 M concentration of solute."
Bio,Eukaryotic Cell,"In order to passively move small, nonpolar solutes through the membrane, cells employ embedded plasma proteins. This method of membrane trafficking is known as:",simple diffusion.,facilitated diffusion.,primary active transport.,secondary active transport.,B,"*Cells employ facillitated diffusion in order to move polar molecules across membranes. 
*The passive (no energy required) transport of particles is referred to as diffusion. 
*Since polar molecules cannot diffuse through the hydrophobic membrane directly, they pass through transmembrane proteins (facillitated diffusion).","*Cells use facilitated diffusion to move small, polar molecules across membranes. "
Bio,Eukaryotic Cell,"In order to transfer solutes through the membrane against their concentration gradients, cells will employ transmembrane proteins that hydrolyze ATP through a process known as:",simple diffusion.,facillitated diffusion.,primary active transport.,secondary active transport.,C,"*The process by which cells move molecules against their concentration gradients through the direct hydrolysis of ATP is known as primary active transport. 
*Moving solutes against their concentration gradients requires energy (active transport), energy that is provided by ATP (primary active transport).",*The transport of solutes against their concentration gradients through the direct hydrolysis of ATP is known as primary active transport.
Bio,Eukaryotic Cell,"In order to transfer solutes across membranes against their concentration gradients, cells employ transmembrane proteins that utilize existing concentration gradients through a process known as:",simple diffusion.,facillitated diffusion.,primary active transport.,secondary active transport.,D,"*The process by which cells move molecules against their concentration gradients by utilizing the energy stored in an existing concentration gradient is known as secondary active transport. 
*The energy required to move molecule A up its concentration gradient is provided by the energy released as molecule B moves down its concentration gradient. 
*The molecule B's concentration gradient is usually created through the use of primary active transport.",*The transportation of solutes against their concentration gradients using the energy stored in existing concentration gradients is known as secondary active transport.
Bio,Eukaryotic Cell,The Na+/K+ ATPase hydrolyzes ATP in order to pump three sodium ions out of the cell and two potassium ions into the cell. This process can most accurately be described as: ,simple diffusion.,facillitated diffusion.,primary active transport.,secondary active transport.,C,"*The process by which cells move molecules against their concentration gradients through the direct hydrolysis of ATP is known as primary active transport. 
*The Na+/K+ ATPase is a pump that uses primary active transport in order to maintain the concentation gradient of sodium (high outside the cell) and potassium (high inside the cell).",The Na+/K+ ATPase hydrolyzes ATP to move ions against their concentration gradient and is thus a primary active transporter.
